YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,BP10,924,536
2023-01,WEEKDAY,7,TRAIN,BP10,9857,2234
2023-01,WEEKDAY,15,TRAIN,NE10,12632,10256
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,NE10,5513,5961
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2558,2401
2023-01,WEEKDAY,18,TRAIN,EW22,24499,14086
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2213,1666
2023-01,WEEKDAY,15,TRAIN,CC25,3406,2994
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,7246,19260
2023-01,WEEKDAY,12,TRAIN,CE1/DT16,8748,18439
2023-01,WEEKDAY,10,TRAIN,SW6,2539,1072
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1878,709
2023-01,WEEKDAY,17,TRAIN,DT31,7472,9571
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,DT31,3346,3297
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2304,2577
2023-01,WEEKDAY,15,TRAIN,CC14,4905,5153
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,NS7,7000,8156
2023-01,WEEKDAY,11,TRAIN,NS7,8600,5939
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,SW4,671,733
2023-01,WEEKDAY,16,TRAIN,SW4,1146,1803
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,CC5,821,1262
2023-01,WEEKDAY,10,TRAIN,CC5,1240,2530
2023-01,WEEKDAY,13,TRAIN,CC23,6142,6382
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1131,1294
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,EW33,635,1317
2023-01,WEEKDAY,22,TRAIN,EW33,982,1246
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2960,2679
2023-01,WEEKDAY,14,TRAIN,CC21,4737,4865
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,TE16,2265,1719
2023-01,WEEKDAY,12,TRAIN,TE16,2620,1874
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,37062,35592
2023-01,WEEKDAY,18,TRAIN,EW24/NS1,122448,91044
2023-01,WEEKDAY,7,TRAIN,NE10,16442,25278
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3038,2341
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1492,1848
2023-01,WEEKDAY,8,TRAIN,EW22,7448,49054
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,NS28,332,140
2023-01,WEEKDAY,22,TRAIN,NS28,375,162
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,47,114
2023-01,WEEKDAY,0,TRAIN,DT10/TE11,29,137
2023-01,WEEKDAY,10,TRAIN,EW16/NE3/TE17,14082,20559
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,5910,6688
2023-01,WEEKDAY,9,TRAIN,CC14,5363,3873
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2470,1152
2023-01,WEEKDAY,14,TRAIN,EW27,21273,26668
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,EW27,18082,18540
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,82,115
2023-01,WEEKDAY,0,TRAIN,NS27/CE2/TE20,19,91
2023-01,WEEKDAY,18,TRAIN,DT27,17265,8265
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,DT27,3156,2838
2023-01,WEEKDAY,14,TRAIN,CC16,5418,4059
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2380,1951
2023-01,WEEKDAY,10,TRAIN,EW11,10965,10666
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,EW11,7452,6327
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,942,1706
2023-01,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2451,6095
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,TE15,1544,562
2023-01,WEEKDAY,22,TRAIN,TE15,2646,878
2023-01,WEEKDAY,0,TRAIN,EW19,29,354
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,EW19,48,268
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,6832,6189
2023-01,WEEKDAY,10,TRAIN,EW21/CC22,7165,11691
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2177,1649
2023-01,WEEKDAY,8,TRAIN,CC8,10400,5274
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,18312,19443
2023-01,WEEKDAY,17,TRAIN,NE7/DT12,22203,18505
2023-01,WEEKDAY,17,TRAIN,EW33,7378,2723
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1943,1487
2023-01,WEEKDAY,0,TRAIN,NS8,383,1712
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NS8,397,1157
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,NS14,10867,13318
2023-01,WEEKDAY,18,TRAIN,NS14,26222,56551
2023-01,WEEKDAY,12,TRAIN,EW17,14191,15220
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW17,10376,10156
2023-01,WEEKDAY,11,TRAIN,TE22,363,1693
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,TE22,460,2456
2023-01,WEEKDAY,0,TRAIN,NE17/PTC,241,1932
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,329,1598
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1079,797
2023-01,WEEKDAY,13,TRAIN,BP12,4271,1307
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,16926,15665
2023-01,WEEKDAY,14,TRAIN,NS17/CC15,34571,30699
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,5931,5078
2023-01,WEEKDAY,16,TRAIN,CC10/DT26,9750,8514
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,DT28,2183,1020
2023-01,WEEKDAY,6,TRAIN,DT28,10178,5687
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,DT7,32,2
2023-01,WEEKDAY,5,TRAIN,DT7,114,58
2023-01,WEEKDAY,11,TRAIN,PW5,1534,1010
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2119,873
2023-01,WEEKDAY,18,TRAIN,BP3,2881,7517
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1494,2077
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,CC28,542,1556
2023-01,WEEKDAY,22,TRAIN,CC28,778,2472
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1477,1146
2023-01,WEEKDAY,13,TRAIN,SW6,4057,3635
2023-01,WEEKDAY,17,TRAIN,NE12/CC13,44365,67147
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,26221,29708
2023-01,WEEKDAY,8,TRAIN,NS21/DT11,47145,58227
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,11389,13013
2023-01,WEEKDAY,0,TRAIN,NE16/STC,276,2137
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,249,1460
2023-01,WEEKDAY,17,TRAIN,DT21,8135,3663
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2664,2079
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,20474,24214
2023-01,WEEKDAY,19,TRAIN,NE12/CC13,39401,69263
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,EW31,791,1507
2023-01,WEEKDAY,6,TRAIN,EW31,1791,6900
2023-01,WEEKDAY,15,TRAIN,EW7,7650,10702
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,EW7,5426,6165
2023-01,WEEKDAY,21,TRAIN,CC24,11296,1468
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2173,998
2023-01,WEEKDAY,12,TRAIN,EW8/CC9,22232,28140
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,21605,24064
2023-01,WEEKDAY,20,TRAIN,BP5,979,1311
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,BP5,459,632
2023-01,WEEKDAY,12,TRAIN,EW15,14148,14746
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4870,6421
2023-01,WEEKDAY,7,TRAIN,SW4,5005,1305
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,SW4,428,378
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1594,6868
2023-01,WEEKDAY,22,TRAIN,DT33,1943,12488
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,16402,33299
2023-01,WEEKDAY,11,TRAIN,EW24/NS1,21124,40246
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,CC23,302,126
2023-01,WEEKDAY,23,TRAIN,CC23,946,187
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1910,1822
2023-01,WEEKDAY,22,TRAIN,DT13,3791,2669
2023-01,WEEKDAY,23,TRAIN,NE14,1708,10130
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1228,6660
